order_date,delivery_date,customer_age,customer_gender,location,delivery_type,product_category,sub_category,product,unit_price,shipping_fee,order_quantity,sale_price,status,reason,rating
2020-05-31,2020-06-08,20,M,Greater Accra,Standard Delivery,Fashion,Girl's fashion,Fashion Girl's Dress Kids Children Newborn Baby Dinner Party Princess Dress Ball Gown,  125.00 ,16.0,5,125.0,Returned,Onsite -Description mismatch,2
2020-05-31,2020-06-16,24,M,Ashanti,Shipped from Abroad,Home and Office,Tools and Home Improvement,Maze Batik Designed 3D Wallpaper - 10M - White/Black,  135.00 ,16.0,9,135.0,Returned,Product - Not fitting expectation,1
2020-05-31,2020-06-20,27,M,Ashanti,Shipped from Abroad,Fashion,Girl's fashion,Fashion Girls' Patent Leather Stitching Shoes - Black,  156.00 ,14.0,1,156.0,Returned,Onsite -Description mismatch,1
2020-05-31,2020-06-12,24,M,Weija,Standard Delivery,Home and Office,Home and Furniture,8 Cubes Plastic Wardrobe - Blue/White,  175.00 ,3.0,9,175.0,Returned,Delivery-Wrong item,1
2020-05-30,2020-06-08,29,M,Upper West,Standard Delivery,Home and Office,Tools and Home Improvement,Maze Batik Designed 3D Wallpaper - 10M - White/Black,  135.00 ,20.0,7,135.0,Returned,Onsite -Description mismatch,1
2020-05-30,2020-06-17,22,M,Volta,Shipped from Abroad,Health and beauty,Vitamins & Dietary Supplements,Aichun Beauty Eight Pack Essential Oil - 30ml,  35.00 ,10.0,3,35.0,Returned,Delivey - Missing item/part,2
2020-05-30,2020-06-04,30,M,Prampram,Express,Health and beauty,Vitamins & Dietary Supplements,Vida Divina TeDivina (Detox Tea Formula) - 1 Tea Bag,  55.00 ,3.0,10,55.0,Returned,Quality-Defective item,2
2020-05-29,2020-06-16,19,M,Ashanti,Shipped from Abroad,Fashion,Boy's fashion,Short Sleeve Polo Shirt - Royal Blue,  26.00 ,12.0,1,26.0,Returned,Product - Not fitting expectation,3
2020-05-28,2020-06-14,30,M,Western,Shipped from Abroad,Phones and Tablet,Mobile phones,Infinix Smart HD X612 (2021) - 32GB HDD - 2GB RAM - Black,  446.40 ,17.0,2,446.4,Returned,Not Added,1
2020-05-28,2020-06-12,19,M,Western,Shipped from Abroad,Fashion,Women's fashion,Leather Vintage Bracelet Watch - Black,  19.00 ,12.0,7,19.0,Returned,Delivery-Wrong item,2
2020-05-28,2020-06-12,26,M,Ashanti,Standard Delivery,Fashion,Girl's fashion,Fashion Girl's Dress Kids Children Newborn Baby Dinner Party Princess Dress Ball Gown,  125.00 ,14.0,6,125.0,Returned,Onsite -Description mismatch,2
2020-05-28,2020-06-17,26,M,Greater Accra,Shipped from Abroad,Health and beauty,Vitamins & Dietary Supplements,Aichun Beauty Eight Pack Essential Oil - 30ml,  35.00 ,16.0,8,35.0,Returned,Quality-Defective item,3
2020-05-28,2020-06-07,30,M,Greater Accra,Standard Delivery,Home and Office,Kitchen and dinning,Potluck Lunch Box - Brown,  220.00 ,20.0,6,220.0,Returned,Product - Not fitting expectation,3
2020-05-27,2020-06-01,28,M,Greater Accra,Express,Health and beauty,Beauty and personal care,L A Girl Pro Coverage HD Illuminating Liquid Foundation - Coffee,  42.00 ,4.0,9,42.0,Returned,Onsite -Description mismatch,3
2020-05-27,2020-06-15,27,M,Weija,Shipped from Abroad,Home and Office,Kitchen and dinning,Potluck Lunch Box - Brown,  220.00 ,4.0,10,220.0,Returned,Onsite -Description mismatch,1
2020-05-26,2020-05-30,26,M,Upper West,Express,Home and Office,Home and Furniture,Lindy 12 Cubes Wardrobe 8 Doors - Brown,  100.00 ,13.0,9,100.0,Returned,Product - Not fitting expectation,2
2020-05-26,2020-06-07,24,M,Upper West,Standard Delivery,Electronics,Home Audio,Triple Power C20 Super Bass USB Bluetooth Subwoofer - Brown + free S530 V4.0 Bluetooth Headset - Black,  97.75 ,11.0,10,97.75,Returned,Delivey - Missing item/part,1
2020-05-26,2020-05-30,24,M,Western,Express,Fashion,Men's fashion,100%Cotton 4 Piece Short Sleeve T-Shirts - Multicolour,  80.00 ,8.0,2,80.0,Returned,Onsite -Description mismatch,2
2020-05-26,2020-05-31,28,M,Ashanti,Standard Delivery,Home and Office,Home and Furniture,Lindy 12 Cubes Wardrobe 8 Doors - Brown,  100.00 ,9.0,4,100.0,Returned,Quality-Defective item,1
2020-05-25,2020-06-09,30,M,Ashanti,Standard Delivery,Health and beauty,Vitamins & Dietary Supplements,Optimum Nutrition Creatine Sports - 5000mg per Daily Serve Powder,  115.00 ,15.0,7,115.0,Returned,Quality-Defective item,2
2020-05-25,2020-06-14,29,M,Ashanti,Shipped from Abroad,Fashion,Girl's fashion,Trust Leather Buckle Shoes - Black,  70.00 ,7.0,7,70.0,Returned,Delivey - Missing item/part,2
2020-05-24,2020-05-28,22,M,Savannah,Express,Home and Office,Kitchen and dinning,Plastic Storage Bowl - 17 Pieces Green,  70.00 ,14.0,5,70.0,Returned,Onsite -Description mismatch,1
2020-05-23,2020-05-27,19,M,Ashanti,Express,Health and beauty,Medical supplies and Equipment,Portable Blood Pressure Monitor - White,  102.00 ,4.0,9,102.0,Returned,Onsite -Description mismatch,3
2020-05-23,2020-06-04,28,M,Greater Accra,Shipped from Abroad,Health and beauty,Fragrances,Fragrance World Smart Black Eau de Parfum Spray - 100ml,  63.00 ,14.0,7,63.0,Returned,Delivey - Missing item/part,3
2020-05-23,2020-05-27,23,M,Ashanti,Express,Home and Office,Kitchen and dinning,Potluck Lunch Box - Brown,  220.00 ,17.0,8,220.0,Returned,Delivery-Wrong item,3
2020-05-23,2020-05-25,29,M,Greater Accra,Express,Health and beauty,Beauty and personal care,Clere Avocado Milk Body Lotion With Vitamins E+A - 400ml,  17.00 ,19.0,7,17.0,Returned,Delivey - Missing item/part,1
2020-05-23,2020-05-28,29,M,Prampram,Express,Fashion,Boy's fashion,Fashion Boys Sneakers Children Outdoor Shoes-Black,  86.00 ,16.0,8,86.0,Returned,Product - Not fitting expectation,2
2020-05-22,2020-05-27,22,M,Greater Accra,Express,Phones and Tablet,Mobile phones,Samsung Galaxy A02 - 64GB HDD - 3GB RAM Smartphone - Black,  629.00 ,7.0,7,629.0,Returned,Quality-Defective item,3
2020-05-22,2020-06-01,24,M,Greater Accra,Standard Delivery,Health and beauty,Vitamins & Dietary Supplements,Hemani Ultra Slim Tea - 10 Bags,  15.00 ,16.0,3,15.0,Returned,Quality-Defective item,1
2020-05-22,2020-05-27,23,M,Weija,Express,Home and Office,Home and Furniture,8 Cubes Plastic Wardrobe - Blue/White,  175.00 ,12.0,8,175.0,Returned,Delivery-Wrong item,1
2020-05-21,2020-05-23,25,M,Greater Accra,Express,Home and Office,Home and Furniture,8 Cubes Plastic Wardrobe - Blue/White,  175.00 ,20.0,10,175.0,Returned,Quality-Defective item,1
2020-05-21,2020-06-05,20,M,Greater Accra,Standard Delivery,Fashion,Girl's fashion,Fashion Girls' Patent Leather Stitching Shoes - Black,  156.00 ,10.0,2,156.0,Returned,Quality-Defective item,2
2020-05-21,2020-05-29,19,M,Western,Standard Delivery,Fashion,Men's fashion,Sports Pants - Black,  50.00 ,17.0,5,50.0,Returned,Quality-Defective item,1
2020-05-21,2020-06-01,21,M,Ashanti,Standard Delivery,Phones and Tablet,Mobile phones,Samsung A3 Core Dual SIM - 16GB HDD - 1GB RAM - Blue,  387.00 ,15.0,2,387.0,Returned,Onsite -Description mismatch,3
2020-05-20,2020-05-31,25,M,Ashanti,Shipped from Abroad,Health and beauty,Vitamins & Dietary Supplements,Aichun Beauty Eight Pack Essential Oil - 30ml,  35.00 ,15.0,3,35.0,Returned,Delivey - Missing item/part,1
2020-05-19,2020-06-03,28,M,Western,Standard Delivery,Fashion,Girl's fashion,Trust Leather Buckle Shoes - Black,  70.00 ,12.0,4,70.0,Returned,Onsite -Description mismatch,1
2020-05-18,2020-05-23,29,M,Greater Accra,Express,Health and beauty,Vitamins & Dietary Supplements,Vida Divina TeDivina (Detox Tea Formula) - 1 Tea Bag,  55.00 ,8.0,3,55.0,Returned,Delivey - Missing item/part,1
2020-05-18,2020-05-25,20,M,Ashanti,Standard Delivery,Fashion,Men's fashion,Sports Pants - Black,  50.00 ,17.0,4,50.0,Returned,Delivery-Wrong item,3
2020-05-17,2020-06-02,30,M,Ashanti,Shipped from Abroad,Electronics,Home Audio,Triple Power C20 Super Bass USB Bluetooth Subwoofer - Brown + free S530 V4.0 Bluetooth Headset - Black,  97.75 ,9.0,3,97.75,Returned,Quality-Defective item,3
2020-05-17,2020-05-29,30,M,Greater Accra,Standard Delivery,Health and beauty,Beauty and personal care,Clere Avocado Milk Body Lotion With Vitamins E+A - 400ml,  17.00 ,17.0,1,17.0,Returned,Delivery-Wrong item,2
2020-05-17,2020-05-28,28,M,Ashanti,Standard Delivery,Fashion,Women's fashion,Fashion 4-Piece Leather HandBag Set - Black,  49.00 ,4.0,8,49.0,Returned,Product - Not fitting expectation,1
